CODGEO,LIBGEO,EPCI,LIBEPCI,NATURE_EPCI
77534,Yèbles,247700693,CC la Brie Centrale,CC
78003,Ablis,247800592,CC Contrée d'Ablis-Porte d'Yvelines,CC
78005,Achères,ZZZZZZZZZ,nd,nd
78006,Adainville,247800550,CC du Pays Houdanais,CC
78007,Aigremont,ZZZZZZZZZ,nd,nd
78009,Allainville,247800592,CC Contrée d'Ablis-Porte d'Yvelines,CC
78010,Les Alluets-le-Roi,200000321,CA des deux Rives de la Seine,CA
78013,Andelu,ZZZZZZZZZ,nd,nd
78015,Andrésy,200000321,CA des deux Rives de la Seine,CA
78020,Arnouville-lès-Mantes,247800014,CA de Mantes en Yvelines,CA
78029,Aubergenville,247800626,CC Seine Mauldre,CC
78030,Auffargis,247800634,CC des Etangs,CC
78031,Auffreville-Brasseuil,247800014,CA de Mantes en Yvelines,CA
78033,Aulnay-sur-Mauldre,247800626,CC Seine Mauldre,CC
78034,Auteuil,ZZZZZZZZZ,nd,nd
78036,Autouillet,ZZZZZZZZZ,nd,nd
78043,Bailly,247800584,CA Versailles Grand Parc,CA
78048,Bazainville,247800550,CC du Pays Houdanais,CC
78049,Bazemont,ZZZZZZZZZ,nd,nd
78050,Bazoches-sur-Guyonne,ZZZZZZZZZ,nd,nd
78053,Béhoust,ZZZZZZZZZ,nd,nd
78057,Bennecourt,247800527,CC des Portes de l'Ile de France,CC
78062,Beynes,247800618,CC Cœur d'Yvelines,CC
78068,Blaru,247800527,CC des Portes de l'Ile de France,CC
78070,Boinville-en-Mantois,247800014,CA de Mantes en Yvelines,CA
78071,Boinville-le-Gaillard,247800592,CC Contrée d'Ablis-Porte d'Yvelines,CC
78072,Boinvilliers,247800550,CC du Pays Houdanais,CC
78073,Bois-d'Arcy,247800584,CA Versailles Grand Parc,CA
78076,Boissets,247800550,CC du Pays Houdanais,CC
78077,La Boissière-École,247800600,CC Plaines et Forêts d'Yvelines,CC
78082,Boissy-Mauvoisin,200000487,CC du Plateau de Lommoye,CC
78084,Boissy-sans-Avoir,ZZZZZZZZZ,nd,nd
